timestamp,broker,symbol,bid,ask,spread,spread_points,session,day_of_week
2026-01-16 10:26:44,Pepperstone Razor,XAUUSD,4609.39,4609.54,0.15,15,London,Friday
2026-01-16 10:26:47,FusionMarkets Zero,XAUUSD,4609.23,4609.29,0.06,6,London,Friday
2026-01-16 10:26:51,ThinkMarkets ThinkZero,XAUUSD,4609.05,4609.13,0.08,8,London,Friday
2026-01-16 10:26:53,ICMarkets Raw,XAUUSD,4609.0,4609.06,0.06,6,London,Friday
2026-01-16 10:26:56,VantageMarkets Raw,XAUUSD,4609.45,4609.53,0.08,8,London,Friday
2026-01-16 10:26:59,FPMarkets Raw,XAUUSD,4609.34,4609.41,0.07,7,London,Friday
2026-01-16 10:30:08,Pepperstone Razor,XAUUSD,4608.03,4608.26,0.23,23,London,Friday
2026-01-16 10:30:11,FusionMarkets Zero,XAUUSD,4608.26,4608.35,0.09,9,London,Friday
2026-01-16 10:30:14,ThinkMarkets ThinkZero,XAUUSD,4607.62,4607.7,0.08,8,London,Friday
2026-01-16 10:30:17,ICMarkets Raw,XAUUSD,4608.04,4608.15,0.11,11,London,Friday
2026-01-16 10:30:19,VantageMarkets Raw,XAUUSD,4607.71,4607.79,0.08,8,London,Friday
2026-01-16 10:30:22,FPMarkets Raw,XAUUSD,4607.91,4607.98,0.07,7,London,Friday
2026-01-16 10:31:08,Pepperstone Razor,XAUUSD,4608.66,4608.85,0.19,19,London,Friday
2026-01-16 10:31:11,FusionMarkets Zero,XAUUSD,4608.37,4608.47,0.1,10,London,Friday
2026-01-16 10:31:14,ThinkMarkets ThinkZero,XAUUSD,4608.69,4608.77,0.08,8,London,Friday
2026-01-16 10:31:17,ICMarkets Raw,XAUUSD,4608.61,4608.69,0.08,8,London,Friday
2026-01-16 10:31:20,VantageMarkets Raw,XAUUSD,4608.4,4608.48,0.08,8,London,Friday
2026-01-16 10:31:23,FPMarkets Raw,XAUUSD,4608.47,4608.54,0.07,7,London,Friday
2026-01-16 10:32:08,Pepperstone Razor,XAUUSD,4608.31,4608.53,0.22,22,London,Friday
2026-01-16 10:32:11,FusionMarkets Zero,XAUUSD,4608.45,4608.59,0.14,14,London,Friday
2026-01-16 10:32:14,ThinkMarkets ThinkZero,XAUUSD,4608.38,4608.46,0.08,8,London,Friday
2026-01-16 10:32:17,ICMarkets Raw,XAUUSD,4608.55,4608.66,0.11,11,London,Friday
2026-01-16 10:32:20,VantageMarkets Raw,XAUUSD,4608.5,4608.58,0.08,8,London,Friday
2026-01-16 10:32:22,FPMarkets Raw,XAUUSD,4608.77,4608.84,0.07,7,London,Friday
2026-01-16 10:33:08,Pepperstone Razor,XAUUSD,4608.32,4608.54,0.22,22,London,Friday
2026-01-16 10:33:11,FusionMarkets Zero,XAUUSD,4608.44,4608.58,0.14,14,London,Friday
2026-01-16 10:33:14,ThinkMarkets ThinkZero,XAUUSD,4608.43,4608.51,0.08,8,London,Friday
2026-01-16 10:33:17,ICMarkets Raw,XAUUSD,4608.61,4608.72,0.11,11,London,Friday
2026-01-16 10:33:20,VantageMarkets Raw,XAUUSD,4608.53,4608.61,0.08,8,London,Friday
2026-01-16 10:33:23,FPMarkets Raw,XAUUSD,4608.84,4608.91,0.07,7,London,Friday
2026-01-16 10:34:08,Pepperstone Razor,XAUUSD,4607.56,4607.76,0.2,20,London,Friday
2026-01-16 10:34:11,FusionMarkets Zero,XAUUSD,4607.53,4607.62,0.09,9,London,Friday
2026-01-16 10:34:14,ThinkMarkets ThinkZero,XAUUSD,4607.77,4607.85,0.08,8,London,Friday
2026-01-16 10:34:17,ICMarkets Raw,XAUUSD,4607.48,4607.54,0.06,6,London,Friday
2026-01-16 10:34:20,VantageMarkets Raw,XAUUSD,4607.46,4607.54,0.08,8,London,Friday
2026-01-16 10:34:23,FPMarkets Raw,XAUUSD,4606.83,4606.9,0.07,7,London,Friday
2026-01-16 10:35:08,Pepperstone Razor,XAUUSD,4605.45,4605.64,0.19,19,London,Friday
2026-01-16 10:35:11,FusionMarkets Zero,XAUUSD,4605.5,4605.64,0.14,14,London,Friday
2026-01-16 10:35:15,ThinkMarkets ThinkZero,XAUUSD,4605.41,4605.49,0.08,8,London,Friday
2026-01-16 10:35:17,ICMarkets Raw,XAUUSD,4605.47,4605.58,0.11,11,London,Friday
2026-01-16 10:35:20,VantageMarkets Raw,XAUUSD,4605.28,4605.36,0.08,8,London,Friday
2026-01-16 10:35:23,FPMarkets Raw,XAUUSD,4606.38,4606.45,0.07,7,London,Friday
2026-01-16 10:36:08,Pepperstone Razor,XAUUSD,4606.23,4606.37,0.14,14,London,Friday
2026-01-16 10:36:11,FusionMarkets Zero,XAUUSD,4606.06,4606.2,0.14,14,London,Friday
2026-01-16 10:36:14,ThinkMarkets ThinkZero,XAUUSD,4605.84,4605.92,0.08,8,London,Friday
2026-01-16 10:36:16,ICMarkets Raw,XAUUSD,4605.47,4605.58,0.11,11,London,Friday
2026-01-16 10:36:19,VantageMarkets Raw,XAUUSD,4605.7,4605.78,0.08,8,London,Friday
2026-01-16 10:36:22,FPMarkets Raw,XAUUSD,4606.2,4606.27,0.07,7,London,Friday
2026-01-16 10:37:08,Pepperstone Razor,XAUUSD,4604.52,4604.74,0.22,22,London,Friday
2026-01-16 10:37:11,FusionMarkets Zero,XAUUSD,4604.8,4604.92,0.12,12,London,Friday
2026-01-16 10:37:14,ThinkMarkets ThinkZero,XAUUSD,4605.43,4605.51,0.08,8,London,Friday
2026-01-16 10:37:17,ICMarkets Raw,XAUUSD,4605.12,4605.23,0.11,11,London,Friday
2026-01-16 10:37:20,VantageMarkets Raw,XAUUSD,4604.91,4604.99,0.08,8,London,Friday
2026-01-16 10:37:23,FPMarkets Raw,XAUUSD,4604.88,4604.95,0.07,7,London,Friday
